"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.282117500E-1,-1.006268392E0,-5.592119760E0,-1.861247095E0,5.979014989E0
6.381547500E-1,-1.449017222E0,-6.204556543E0,-3.302117976E0,7.176360911E0
6.480977500E-1,-1.168801691E0,-5.878545034E0,-2.655234661E0,6.555429827E0
6.580407500E-1,-8.120700806E-1,-4.670611145E0,-5.312160337E-1,4.770351848E0
6.679837500E-1,-3.471988946E-1,-4.254403996E0,-2.370566475E-1,4.275125295E0
6.779267500E-1,1.103411694E0,-3.711376002E0,-2.768071890E-2,3.872027300E0
6.878697500E-1,2.306023740E0,-2.630073800E0,7.549585712E-1,3.578406925E0
6.978127500E-1,2.405138723E0,-2.084440871E0,1.183709167E0,3.395696308E0
7.077557500E-1,2.065545301E0,-1.807597137E0,2.320321351E0,3.594130768E0
7.176987500E-1,2.229282542E0,-1.350705354E0,2.736833725E0,3.779466159E0
7.276417500E-1,2.754442030E0,-7.810886085E-1,1.762947214E0,3.362295821E0
7.375847500E-1,3.048652872E0,-4.401199222E-3,9.848605657E-1,3.203787452E0
7.475277500E-1,2.945516174E0,1.004999253E0,4.613371289E-1,3.146255072E0
7.574717500E-1,2.046200373E0,1.974788328E0,-4.201750696E-2,2.844027141E0
7.674147500E-1,9.989137638E-1,2.816399712E0,1.110316086E-1,2.990361862E0
7.773577500E-1,4.265146208E-1,3.688211964E0,6.210473925E-1,3.764375390E0
7.873007500E-1,5.943969530E-1,4.624239509E0,8.819364139E-1,4.744966871E0
7.972437500E-1,9.389505672E-1,5.422808368E0,6.453934443E-1,5.541210289E0
8.071867500E-1,1.546026038E0,5.756393191E0,3.951068866E-1,5.973472066E0
8.171297500E-1,2.190251793E0,6.098182241E0,1.119861373E0,6.575645904E0
8.270727500E-1,2.694483511E0,5.875265331E0,1.760147567E0,6.699037510E0
8.370157500E-1,2.833367162E0,4.859397273E0,1.283894776E0,5.769757112E0
8.469587500E-1,2.276040387E0,3.776279218E0,7.771218574E-1,4.477115473E0
8.569017500E-1,1.214366704E0,2.243047473E0,2.830137160E-1,2.566329133E0
8.668447500E-1,-9.141887784E-2,6.870820454E-1,-3.585106257E-1,7.803646693E-1
8.767877500E-1,-1.683220428E-1,-6.117780939E-1,-4.815562159E-2,6.363361613E-1
8.867307500E-1,6.238967407E-1,-2.982321765E0,-1.879315576E0,3.579848780E0
8.966737500E-1,1.155265971E0,-4.965536224E0,-2.423182938E0,5.644732501E0
9.066167500E-1,1.029885880E0,-6.263136288E0,-5.814558953E-1,6.373823974E0
9.165597500E-1,1.158457382E0,-6.128209448E0,4.928083053E-1,6.256183706E0
9.265027500E-1,2.246335947E0,-5.744023406E0,1.824678316E0,6.431895602E0
9.364457500E-1,2.880950634E0,-4.711851264E0,3.646640015E0,6.618111686E0
9.463887500E-1,1.686785476E0,-3.317488552E0,3.323385469E0,4.989575784E0
9.563317500E-1,8.135657984E-1,-2.725054801E0,3.297429678E0,4.354406442E0
9.662757500E-1,6.313022393E-1,-4.408804987E0,2.632320300E0,5.173510810E0
9.762187500E-1,6.747295099E-1,-5.893102262E0,2.252295721E0,6.344820738E0
9.861617500E-1,2.444440198E-1,-6.746084726E0,1.196585613E0,6.855744244E0
9.961047500E-1,-3.086885476E-1,-6.953280228E0,-1.621073297E-1,6.962016470E0
1.006047750E0,-2.960349391E0,-7.675421301E0,-1.128719612E0,8.303599739E0
1.015990750E0,-4.721077001E0,-6.469012073E0,-2.635320214E0,8.430990326E0
1.025933750E0,-4.568788608E0,-3.950997238E0,-3.308456358E0,6.886950849E0
1.035876750E0,-3.278976451E0,-2.528629871E0,-2.177639349E0,4.678436568E0
1.045819750E0,-1.895224096E0,-1.278696893E0,-1.427214709E0,2.695158983E0
1.055762750E0,-7.589820403E-1,4.273107192E-1,-1.022839985E0,1.343446993E0
1.065705750E0,-1.613276035E-1,3.455028220E0,-1.558671373E0,3.793771612E0
1.075648750E0,-8.133944750E-1,6.501700348E0,-2.613566233E0,7.054391996E0
1.085591750E0,-1.539066682E0,8.606093380E0,-4.011996853E0,9.619235327E0
1.095534750E0,-5.865037966E-1,1.092319058E1,-3.116737851E0,1.137427509E1
1.105477750E0,9.042046577E-1,1.127818790E1,-1.218370877E0,1.137978629E1
1.115419917E0,3.453862578E0,1.349628004E1,-8.902070081E-1,1.395962787E1
1.125362917E0,5.484077248E0,1.317538017E1,1.028063230E0,1.430813265E1
1.135305917E0,6.768877172E0,1.060194455E1,1.320169732E0,1.264759956E1
1.145248917E0,7.638396732E0,7.345902632E0,2.755219710E-1,1.060109912E1
1.155191917E0,8.185061694E0,5.340531027E0,4.832723737E-2,9.773374141E0
1.165134917E0,8.162597276E0,4.576842856E0,-7.527880847E-2,9.358480203E0
1.175077917E0,4.804910871E0,3.155108157E0,2.138837811E0,6.133229422E0
1.185021917E0,5.387217536E0,1.873977653E0,2.564292916E0,6.253759124E0
1.194964917E0,4.625162784E0,5.238842100E-1,5.941881489E0,7.548015704E0
1.204907917E0,2.361587491E0,7.053028464E-1,5.502873123E0,6.029606968E0
1.214850917E0,1.091985065E0,-2.632600674E-1,2.964256500E0,3.169945401E0
1.224793917E0,8.054048395E-1,-2.022983126E0,1.097221831E0,2.438243924E0
1.234736917E0,7.271258247E-1,-3.590173746E0,4.415095130E-1,3.689578586E0
1.244679917E0,-1.135412335E-1,-5.612661613E0,4.199093136E-1,5.629492502E0
1.254622917E0,-5.516292483E-1,-7.384795972E0,2.307235283E-1,7.408963472E0
1.264565917E0,-2.326656225E0,-9.639220957E0,4.370986658E-1,9.925672022E0
1.274508917E0,-3.806097094E0,-1.224351526E1,9.961234725E-1,1.286010509E1
1.284451917E0,-2.998778461E0,-1.296543122E1,2.718434876E0,1.358252433E1
1.294394917E0,-2.315990903E0,-1.091409582E1,2.581427012E0,1.145185866E1
1.304337917E0,-2.096710961E0,-7.907597862E0,1.218845671E0,8.271147779E0
