"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.158907917E-1,-1.410580667E1,3.977568448E-1,1.651344332E0,1.420770672E1
6.258347917E-1,-1.341789461E1,1.198744698E0,9.351054382E-1,1.350375158E1
6.357787917E-1,-1.237253524E1,1.827386454E0,3.776260507E-1,1.251245663E1
6.457227917E-1,-1.112085921E1,2.087858276E0,-3.808703783E-1,1.132156014E1
6.556667917E-1,-9.990005364E0,2.075156955E0,-8.852111471E-1,1.024158593E1
6.656107917E-1,-9.314530919E0,2.006653900E0,-1.268506658E0,9.612297085E0
6.755537917E-1,-8.920371282E0,2.190797338E0,-1.102507129E0,9.251385774E0
6.854977917E-1,-8.369327924E0,3.420976667E0,1.981153607E-2,9.041522204E0
6.954417917E-1,-7.294348902E0,5.417169313E0,9.640950564E-1,9.136888340E0
7.053857917E-1,-5.631645768E0,7.013243424E0,1.090879064E0,9.060410284E0
7.153297917E-1,-4.214202926E0,7.884889031E0,9.476181874E-1,8.990492843E0
7.252737917E-1,-3.531123592E0,8.026990989E0,9.616763556E-1,8.821918135E0
7.352177917E-1,-2.989174994E0,8.396364865E0,7.305224723E-1,8.942470194E0
7.451617917E-1,-2.459675118E0,9.117841694E0,1.008752581E0,9.497506021E0
7.551057917E-1,-1.963492092E0,9.517440997E0,1.019290726E0,9.771178942E0
7.650497917E-1,-1.584213619E0,9.209626023E0,6.465231264E-1,9.367226720E0
7.749937917E-1,-1.206948341E0,8.541668174E0,3.762241808E-1,8.634718532E0
7.849377917E-1,-7.737257946E-1,7.973963760E0,6.525703168E-1,8.037947354E0
7.948817917E-1,-1.758433163E-2,8.090395857E0,1.996717580E0,8.333168391E0
8.048257917E-1,1.147462862E0,9.029375076E0,3.429545762E0,9.726667950E0
8.147697917E-1,1.731096261E0,9.984913609E0,4.664462505E0,1.115582379E1
8.247137917E-1,1.836349066E0,9.620494080E0,5.144278589E0,1.106298723E1
8.346577917E-1,1.929225655E0,8.446682494E0,5.132537380E0,1.007031761E1
8.446017917E-1,1.786786312E0,6.922207539E0,4.576538216E0,8.488478343E0
8.545457917E-1,2.420696409E0,5.786881742E0,4.173254290E0,7.534176981E0
8.644897917E-1,3.938837661E0,4.660683450E0,4.195462015E0,7.405289586E0
8.744337917E-1,5.221386992E0,3.101234251E0,3.909968495E0,7.222768834E0
8.843777917E-1,6.056754718E0,2.171426682E0,3.182374016E0,7.178222338E0
8.943217917E-1,6.503075028E0,7.800059965E-1,2.262522648E0,6.929459063E0
9.042657917E-1,5.535196531E0,2.263696915E-1,2.322101244E0,6.006812637E0
9.142097917E-1,4.201011608E0,1.546406107E0,2.678701292E0,5.216829591E0
9.241537917E-1,2.682807791E0,1.471969298E0,3.626323864E0,4.744931615E0
9.340977917E-1,6.297696841E-1,1.141260720E0,3.560568416E0,3.791666300E0
9.440417917E-1,-3.406365645E-1,-1.503564727E-1,2.138539603E0,2.170712319E0
9.539857917E-1,-1.050615429E0,-2.291596904E0,1.716268306E0,3.049719012E0
9.639297917E-1,-2.237214875E0,-1.710235295E0,1.971700706E0,3.437679281E0
9.738737917E-1,-2.796984032E0,-9.654626470E-1,2.782266298E0,4.061556790E0
9.838177917E-1,-2.559781204E0,9.746802709E-1,2.065133657E0,3.430343783E0
9.937617917E-1,-2.073709184E0,3.575696625E0,1.966846640E0,4.577593455E0
1.003705792E0,-2.069568186E0,4.735483956E0,2.757083802E0,5.857425361E0
1.013649792E0,-2.301108570E0,6.090360421E0,2.895942895E0,7.125593025E0
1.023593792E0,-2.934619887E0,5.834019071E0,2.770356105E0,7.093845597E0
1.033537792E0,-2.921506337E0,3.948390257E0,1.246206255E0,5.067347918E0
1.043481792E0,-1.347753387E0,7.569966182E-1,-1.592181619E0,2.219127167E0
1.053425792E0,1.326649032E0,6.989147633E-1,-2.954159528E0,3.312934955E0
1.063369792E0,3.122774516E0,2.862085177E0,-1.402409066E0,4.462062688E0
1.073313792E0,2.355809273E0,-8.208748180E-1,-7.210669398E-1,2.596846227E0
1.083257792E0,3.026426436E0,-1.456663626E0,-3.370139513E0,4.758042268E0
1.093201792E0,2.458477024E0,2.426670510E-1,-5.858461602E0,6.358031843E0
1.103145792E0,1.480476996E0,1.258729821E0,-6.591141697E0,6.871634578E0
1.113089792E0,9.309685332E-1,1.808103798E0,-5.949132621E0,6.287139310E0
1.123033792E0,6.018591696E-1,1.781875528E0,-5.194427819E0,5.524436191E0
1.132977792E0,-2.194021493E-1,6.787799493E-1,-4.600478178E0,4.655456905E0
1.142920792E0,-9.515980947E-1,-9.264857653E-1,-4.232793564E0,4.436266015E0
1.152864792E0,2.400492525E-1,-1.510344574E0,-4.498840414E0,4.751665965E0
1.162808792E0,1.554134957E0,-2.401431880E0,-4.659449102E0,5.467419545E0
1.172752792E0,1.593457482E0,-4.187804502E0,-3.907511203E0,5.945204546E0
1.182696792E0,1.632765974E0,-6.271018919E0,-2.770957491E0,7.047681067E0
1.192640792E0,1.870845884E0,-7.170603692E0,-2.002107982E0,7.676331025E0
1.202584792E0,2.050022698E0,-5.758897553E0,-8.964606053E-1,6.178279348E0
1.212528792E0,1.981238392E0,-3.908159659E0,8.608896536E-1,4.465439338E0
1.222472792E0,5.392898691E-1,-2.817750711E0,2.143997101E0,3.581518701E0
1.232416792E0,-1.655149700E0,-2.966454761E0,3.696847425E0,5.020563241E0
1.242360792E0,-2.917323824E0,-2.431752032E0,5.491229562E0,6.676660718E0
1.252304792E0,-5.059667040E0,-2.089289675E0,5.913327781E0,8.058089559E0
1.262248792E0,-4.583214859E0,6.994380891E-2,6.609151121E0,8.043110662E0
1.272192792E0,-2.702771940E0,1.589685443E0,9.313446845E0,9.827124102E0
1.282136792E0,-3.951482849E0,-1.375621802E-1,4.248571106E0,5.803748487E0
1.292080792E0,-8.178114032E0,-1.592079878E0,2.897030477E0,8.820944000E0
1.302024792E0,-1.274605538E1,-1.318944740E-1,3.672276548E0,1.326517768E1
1.311968792E0,-9.296776434E0,3.733502743E0,4.182606912E0,1.085648633E1
1.321912792E0,-2.825029618E0,6.095793069E0,3.272940955E0,7.473394675E0
1.331856792E0,2.229166768E0,6.331505442E0,3.162332100E0,7.420073446E0
1.341800792E0,4.885990702E0,6.112069963E0,3.849628446E-1,7.834443233E0
1.351744792E0,5.070748683E0,7.467959751E0,1.504698795E0,9.151340531E0
1.361688792E0,1.672327065E0,5.896751509E0,1.054980668E0,6.219432481E0
1.371632792E0,-1.461746610E0,2.516005440E0,2.372586688E0,3.754484535E0
1.381576792E0,-3.802953631E0,2.351089400E-1,3.374731624E0,5.089847352E0
1.391520792E0,-4.186139799E0,-4.372799295E-1,1.568729022E0,4.491758108E0
1.401464792E0,-3.808316697E0,-1.057710441E0,-1.513782152E0,4.232441830E0
1.411408792E0,-1.116750362E1,-5.777720910E0,-5.488527564E0,1.371929775E1
1.421352792E0,-1.188378286E1,-8.215926806E0,-2.154314514E0,1.460708114E1
1.431296792E0,-8.282922449E0,-8.615181708E0,-3.159457608E0,1.236164765E1
1.441240792E0,-4.516482341E0,-8.013087480E0,-3.549551092E0,9.859386221E0
1.451184792E0,5.293817621E-1,-5.243440350E0,-2.993533216E0,6.060953133E0
1.461128792E0,4.967651746E0,-2.337867091E0,-2.364446779E0,5.977775086E0
1.471072792E0,7.247558897E0,8.206169558E-1,-2.691110837E0,7.774483886E0
1.481016792E0,7.726931763E0,2.223440005E0,-4.224277094E0,9.082602980E0
1.490960792E0,7.214797533E0,4.195979494E-1,-3.766488348E0,8.149588968E0
1.500904792E0,6.252687898E0,-1.054843551E0,-4.083129694E0,7.541932708E0
1.510848792E0,5.295303399E0,-1.220611530E0,-4.742507339E0,7.212593601E0
1.520792792E0,3.953021836E0,-5.790316397E-1,-4.837570201E0,6.274053294E0
1.530736792E0,2.720027658E0,6.176390505E-1,-4.367309052E0,5.182028253E0
1.540680792E0,1.738177239E0,2.909374534E0,-3.301447300E0,4.731307913E0
1.550624792E0,-4.765154482E0,8.712571762E0,-5.790653781E0,1.149553284E1
1.560568792E0,-2.241771610E0,5.775470316E0,-1.318789789E-1,6.196691810E0
1.570511792E0,-4.475394541E-1,2.076270264E0,-9.727164835E-2,2.126182388E0
1.580455792E0,-3.187263458E0,1.319305514E0,-9.066122487E-1,3.566673682E0
1.590399792E0,-1.720174831E-1,1.794346762E-1,2.605772479E0,2.617601389E0
1.600347542E0,1.350249563E0,2.401004741E0,2.508025745E0,3.725344385E0
1.610291542E0,1.353797069E0,4.943354226E0,2.126072754E0,5.548846985E0
1.620235542E0,1.990403318E0,7.066002851E0,6.148626463E-1,7.366692455E0
1.630179542E0,1.817412273E0,8.213838766E0,-1.318360311E0,8.515175192E0
1.640123542E0,2.209796112E0,9.537323284E0,-1.590597024E0,9.918353350E0
1.650067542E0,2.789822947E0,1.033214817E1,-1.678075463E0,1.083292828E1
1.660011542E0,3.478577004E0,9.509768865E0,-2.720990109E0,1.048522718E1
1.669955542E0,3.119462653E0,7.189743968E0,-4.445601808E0,9.010374077E0
1.679899542E0,1.457864644E0,3.798426132E0,-6.196516621E0,7.412842143E0
1.689843542E0,-1.072100438E0,-1.888143117E0,-8.368842605E0,8.645924493E0
1.699787542E0,-4.617129879E0,-6.223955850E0,-8.433395866E0,1.145328252E1
1.709731542E0,-6.569524541E0,-7.182184687E0,-4.290226670E0,1.063712717E1
1.719675542E0,-5.619416317E0,-5.862646455E0,3.309430504E-1,8.127606443E0
1.729619542E0,-2.957471099E0,-3.554321251E0,6.459133787E0,7.943566210E0
1.739563542E0,-1.784631321E0,-2.638966538E0,1.853064267E1,1.880249375E1
1.749507542E0,-1.220699823E0,-9.503771961E-2,2.059635404E1,2.063271528E1
1.759451542E0,-1.555465783E0,3.181410395E0,9.488552828E0,1.012785667E1
1.769395542E0,-2.668752547E0,5.895149372E0,1.282626514E0,6.596980904E0
1.779339542E0,-2.402254584E0,8.610526155E0,-6.144436641E0,1.084740012E1
1.789283542E0,-1.523753263E0,8.298428680E0,-1.175850860E1,1.447232763E1
1.799227542E0,-1.409194321E0,8.017222046E0,-1.457300972E1,1.669234227E1
1.809171542E0,1.950777322E-2,7.703727087E0,-1.401743653E1,1.599488413E1
1.819115542E0,2.246719086E0,5.131435765E0,-7.605164666E0,9.445523239E0
1.829059542E0,3.354554636E0,6.178565669E-1,2.132191719E0,4.022564490E0
1.839003542E0,1.525258044E0,-3.161194232E0,5.446999469E0,6.479920083E0
1.848947542E0,-3.206556053E-1,-5.385109615E0,5.572961358E0,7.756295757E0
1.858891542E0,-2.469952769E0,-7.547222852E0,6.289463376E0,1.013008337E1
1.868835542E0,-3.457466217E0,-6.560641451E0,5.830376256E0,9.433418054E0
1.878779542E0,-2.637443338E0,-4.251201183E0,3.298052115E0,5.992158761E0
1.888723542E0,-1.279589763E0,-2.234557316E0,7.986545214E-1,2.696005453E0
1.898667542E0,3.715010923E-1,-8.001633954E-1,-1.572405167E0,1.802978793E0
1.908611542E0,8.571936285E-1,-2.420788795E0,-1.668269098E0,3.062371808E0
1.918555542E0,7.883628371E-1,-6.397122311E0,1.622350913E-1,6.447558456E0
1.928499542E0,-3.904557189E-1,-9.800438633E0,2.884620931E0,1.022360460E1
1.938443542E0,-2.342627602E0,-1.107042698E1,6.129508699E0,1.286907667E1
1.948387542E0,-3.159407322E0,-1.092604870E1,6.270797895E0,1.298781356E1
1.958331542E0,-4.081230810E0,-1.089035495E1,4.266488729E0,1.238786511E1
1.968275542E0,-4.992965512E0,-1.273600986E1,2.979336469E0,1.400043205E1
1.978219542E0,-4.183086383E0,-1.225803273E1,3.335985341E0,1.337484117E1
1.988163542E0,-1.955768067E0,-8.629756477E0,3.648730687E0,9.571361513E0
1.998107542E0,-9.723653582E-1,-6.624384872E0,3.855747557E-1,6.706462348E0
2.008051542E0,-4.158934459E-1,-7.095406160E0,-4.309091542E0,8.311800397E0
2.017994542E0,-5.638011047E-1,-8.788469206E0,-6.706782081E0,1.106959749E1
2.027938542E0,-1.439794116E0,-1.003787769E1,-6.150605453E0,1.186009878E1
2.037882542E0,-2.181137154E0,-1.053183643E1,-4.048080021E0,1.149190540E1
2.047826542E0,-1.430938216E0,-9.655088546E0,-2.141918124E0,9.992804024E0
2.057770542E0,5.210105374E0,-8.924870714E0,-3.036081943E0,1.077108671E1
2.067714542E0,7.918665618E-1,-6.339733059E0,-2.854764171E-1,6.395370567E0
2.077658542E0,-3.937420588E0,-3.873963972E0,4.499173705E-1,5.541958443E0
2.087602542E0,-4.949965673E0,-2.894567045E0,-1.072656655E0,5.833632731E0
2.097546542E0,-4.097742763E0,-1.089316980E0,-2.245084058E0,4.797760901E0
2.107490542E0,-2.323787581E0,2.120568185E0,-3.406681102E0,4.637054483E0
2.117434542E0,-1.503273244E0,5.527734899E0,-4.439441766E0,7.247366884E0
2.127378542E0,1.185734058E0,8.148486190E0,-5.156994529E0,9.715883132E0
2.137322542E0,2.010365127E0,1.019625303E1,-5.339488469E0,1.168397539E1
2.147266542E0,8.093696903E-1,1.071350475E1,-5.544988863E0,1.209054030E1
2.157210542E0,6.480205983E-2,8.550135527E0,-5.401063743E0,1.011338254E1
