"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.036168750E-1,9.044999421E-1,-7.500390163E-1,-5.789953870E-1,1.309929131E0
6.136898750E-1,6.622761101E-1,-1.050501555E0,1.444952238E-1,1.250216794E0
6.237628750E-1,1.114046609E-1,-1.333831167E0,9.041023314E-1,1.615214415E0
6.338358750E-1,-5.381025919E-1,-1.738858439E0,1.407291491E0,2.300793866E0
6.439088750E-1,-7.406533581E-1,-1.592688281E0,9.558905357E-1,1.999737501E0
6.539818750E-1,-7.328777307E-1,-1.374506153E0,6.859672737E-1,1.702036437E0
6.640548750E-1,-5.747921160E-1,-1.451748749E0,4.407116604E-1,1.622401668E0
6.741278750E-1,-3.508399558E-1,-1.159356464E0,-7.205640793E-1,1.409400113E0
6.842008750E-1,-1.912589157E-1,-4.712314218E-1,-1.261927371E0,1.360551254E0
6.942738750E-1,2.950914323E-2,8.433987312E-1,3.730932891E-1,9.227084110E-1
7.043468750E-1,-3.705982822E-1,1.281003474E0,1.056411774E0,1.701269768E0
7.144198750E-1,-1.053259833E0,3.258024707E-2,1.921742388E0,2.191691482E0
7.244928750E-1,-1.428896368E0,-1.069069534E0,2.869333971E0,3.379013456E0
7.345658750E-1,-1.719773127E0,-4.465278127E-1,3.174435836E0,3.637863325E0
7.446388750E-1,-1.894544649E0,2.903242705E-1,2.887771996E0,3.465950765E0
7.547118750E-1,-1.813334425E0,4.338773616E-1,1.761531603E0,2.565038965E0
7.647848750E-1,-1.109426724E0,2.833946621E-1,7.733159047E-1,1.381722722E0
7.748578750E-1,-1.007127640E0,2.138722913E-1,3.994080985E-1,1.104343366E0
7.849308750E-1,-1.740398011E0,3.451640636E-2,3.433034796E-1,1.774269962E0
7.950038750E-1,-2.055947389E0,1.352611363E-1,1.684471732E-1,2.067266237E0
8.050768750E-1,-2.383236515E0,6.820192337E-3,7.881719255E-1,2.510194770E0
8.151498750E-1,-2.504860354E0,-7.695266166E-1,2.119268934E0,3.370133146E0
8.252228750E-1,-2.056634145E0,-1.413101285E0,1.757736175E0,3.052250925E0
8.352958750E-1,-1.559161808E0,-1.739878632E0,6.662697583E-1,2.429419393E0
8.453688750E-1,-1.017289224E0,-1.790795748E0,-5.831761461E-1,2.140542266E0
8.554418750E-1,-8.895445186E-1,-1.231275682E0,-9.411935592E-1,1.786945598E0
8.655148750E-1,-6.217344403E-1,-1.518977111E0,-2.673639357E-2,1.641511502E0
8.755878750E-1,-6.120841956E-1,-2.107178354E0,-8.469884831E-1,2.352070826E0
8.856608750E-1,-1.169696900E0,-1.340725911E0,-2.177059890E0,2.811641259E0
8.957338750E-1,-1.406426103E0,2.317821667E-1,-2.548691375E0,2.920202918E0
9.058068750E-1,-1.351273411E0,2.469583518E0,-3.151304251E0,4.225577010E0
9.158798750E-1,-1.365000919E0,1.630584962E0,-2.979532936E0,3.660553420E0
9.259528750E-1,-8.563095295E-1,1.046831404E0,-2.946982656E0,3.242503473E0
9.360248750E-1,-8.762444419E-1,-2.022620599E-1,-2.975527008E0,3.108452226E0
9.460978750E-1,-2.294434558E0,-2.214731015E0,-3.611433345E-1,3.209343846E0
9.561708750E-1,-3.532214683E0,-3.841911290E0,3.728594590E0,6.413987881E0
9.662438750E-1,-2.762888333E0,-4.400101407E0,2.916566609E0,5.958255208E0
9.763168750E-1,-1.442427995E0,-3.416120262E0,1.231370991E0,3.907268955E0
9.863898750E-1,-2.264012665E-1,-1.576320170E0,6.224852228E-1,1.709833519E0
9.964628750E-1,4.800716078E-1,5.133159524E-1,6.807550657E-1,9.784628123E-1
1.006535875E0,1.040236621E0,1.072512813E0,2.271258534E0,2.718637764E0
1.016608875E0,8.912416729E-1,9.106722629E-1,2.500321453E0,2.806286347E0
1.026681875E0,2.271774843E-1,2.205513465E0,3.201410796E0,3.894217551E0
1.036754875E0,-4.906398654E-3,2.685098730E0,6.159456384E0,6.719276911E0
1.046827875E0,8.278400213E-2,2.456857930E0,8.557475536E0,8.903560616E0
1.056900875E0,-1.374136609E-1,3.593789664E0,8.143482728E0,8.902275979E0
1.066973875E0,3.872265941E-1,1.625407399E0,8.471865283E0,8.635067748E0
1.077046875E0,1.433548705E0,9.960530135E-1,7.348560777E0,7.553047662E0
1.087119875E0,2.733398193E0,1.921667544E0,5.283634695E0,6.251485218E0
1.097192875E0,2.986578830E0,4.489194847E0,3.537952555E0,6.449002386E0
1.107265875E0,2.661349387E0,4.546064574E0,2.604721735E0,5.876568640E0
1.117338875E0,2.498914613E0,3.430149487E0,3.604538893E0,5.568051758E0
1.127411875E0,2.125962534E0,3.469049259E0,3.889830977E0,5.628925695E0
1.137484875E0,2.729677318E0,2.076145719E0,5.011992352E0,6.073021212E0
1.147557875E0,3.057515497E0,1.715341523E0,5.658631838E0,6.656644187E0
1.157626792E0,3.128804750E0,1.667277849E0,2.903900371E0,4.582779937E0
1.167699792E0,2.510540632E0,1.137040785E0,-4.477271497E-1,2.792156087E0
1.177772792E0,1.262566472E0,1.090186754E0,-2.302970324E0,2.843633866E0
1.187845792E0,6.365395904E-1,6.493663350E-1,-3.347974180E0,3.469263668E0
1.197918792E0,4.012745297E-1,2.073627323E-2,-4.408965493E0,4.427237058E0
1.207991792E0,-4.427114081E-1,1.458734125E-1,-5.005593159E0,5.027249280E0
1.218064792E0,-1.191391239E0,-1.250397831E-1,-4.944412572E0,5.087461422E0
1.228137792E0,-5.496821254E-1,-1.795533746E0,-4.635243384E0,5.001157176E0
1.238210792E0,-3.212407655E-1,-1.224802522E0,-4.087133574E0,4.278784606E0
1.248283792E0,-8.811865085E-1,9.568442166E-1,-3.702811877E0,3.924647285E0
1.258356792E0,-1.692544398E0,2.604870254E0,-3.485564427E0,4.668962942E0
1.268429792E0,-2.238646274E0,2.591365817E0,-2.429205862E0,4.198542016E0
1.278502792E0,-2.758407027E0,2.017125970E0,4.219958925E-1,3.443208829E0
1.288574792E0,-2.554600571E0,2.244810408E0,3.084019756E0,4.590897048E0
1.298647792E0,-6.434083146E-1,-1.808482406E0,5.113031654E0,5.461471923E0
1.308720792E0,2.723796773E-1,-3.545082650E0,6.792234460E0,7.666567070E0
1.318793792E0,8.682390189E-1,-2.165789674E0,6.842921049E0,7.229803067E0
1.328866792E0,1.991671579E0,-7.579336345E-1,4.513848170E0,4.991597377E0
1.338939792E0,1.294184121E0,3.138894998E-1,1.076071283E0,1.712123991E0
1.349012792E0,-2.815650684E-1,6.814687183E-1,-7.092362684E-1,1.023080928E0
1.359085792E0,-2.046681599E0,5.658306733E-1,-9.617243028E-1,2.331090636E0
1.369158792E0,-4.338553323E0,9.225371405E-1,-2.669839252E0,5.177080387E0
1.379231792E0,-5.428783053E0,8.378307932E-1,-4.065145997E0,6.833670892E0
1.389304792E0,-4.636233317E0,1.083169437E0,-3.331221030E0,5.810761478E0
1.399377792E0,-2.700814877E0,1.841227983E0,-2.572846515E0,4.159814981E0
1.409450792E0,-1.060983127E0,2.648985449E0,-2.472966132E0,3.776025768E0
1.419523792E0,4.292160344E-1,2.617051466E0,-3.325517071E0,4.253498392E0
1.429596792E0,1.482681981E0,2.223269266E0,-3.391908989E0,4.318138334E0
1.439669792E0,1.737553926E0,1.037898320E0,-1.639064595E0,2.604392311E0
1.449742792E0,2.602031431E0,-1.256205724E0,1.166385329E0,3.115938883E0
1.459815792E0,3.056423821E0,-1.862306757E0,4.387823131E0,5.662411576E0
1.469888792E0,2.259062412E0,-1.891731846E0,7.942399321E0,8.471346961E0
1.479961792E0,1.367169067E0,-1.007942011E0,7.303078794E0,7.498003616E0
1.490034792E0,1.199023610E0,2.818145983E-1,2.071935139E0,2.410392562E0
1.500107792E0,2.764317977E-1,7.709992379E-2,-3.975960463E-1,4.903483997E-1
1.510180792E0,-9.429869002E-1,-5.813480142E-1,-1.291994923E-1,1.115294722E0
1.520253792E0,-1.598779033E0,-9.586925215E-1,6.729718369E-1,1.981937648E0
1.530326792E0,-3.147048063E0,-1.423781516E0,1.162218311E0,3.644422686E0
1.540399792E0,-2.585746350E0,-1.406408269E0,1.362160342E0,3.243385454E0
1.550472792E0,-8.807543993E-1,-1.862042024E0,5.381613564E-1,2.128977796E0
1.560545792E0,2.039356792E-1,-2.235231500E0,-3.606621087E-1,2.273307453E0
1.570618792E0,3.978772974E-1,-1.158359733E-1,4.741203117E-1,6.296938832E-1
1.580691792E0,-1.279798216E0,1.560968013E0,6.148394036E-1,2.110102392E0
1.590764792E0,-2.134915498E0,2.343454398E0,-8.918780693E-1,3.293188302E0
1.600836792E0,-1.234974046E0,2.995651955E0,-1.978227661E0,3.796376721E0
1.610909792E0,-8.971312809E-1,2.768660120E0,-2.065765157E0,3.568992726E0
1.620982792E0,3.935176134E-1,1.176206897E0,-1.632958932E0,2.050578857E0
1.631055792E0,2.138419735E0,5.779165757E-1,-9.950605948E-1,2.428368201E0
1.641128792E0,2.319232015E0,1.399559133E0,2.591944984E-1,2.721173404E0
1.651201792E0,2.434733820E0,2.170884646E0,4.726725411E-1,3.296071639E0
1.661274792E0,2.275210667E0,1.452000764E0,-5.096930176E-2,2.699534713E0
1.671347792E0,-1.150059611E-1,-1.410898054E-1,-1.568477592E-1,2.402788460E-1
1.681420792E0,-3.787372556E0,-1.862616805E0,2.755002193E0,5.040195366E0
1.691493792E0,-4.867911696E0,-4.255469066E-1,4.788300978E0,6.841453113E0
1.701566792E0,-4.392912548E0,2.110263053E-1,3.918780541E0,5.890590266E0
1.711639792E0,-3.726863229E0,5.542321363E-1,2.148650608E0,4.337439593E0
1.721712792E0,-2.819597554E0,1.076350780E0,1.766920981E0,3.497237642E0
1.731785792E0,-2.332732067E0,1.563205158E0,2.927242748E0,4.056352963E0
1.741858792E0,-2.261011289E0,2.276231591E0,4.317843362E0,5.379328360E0
1.751931792E0,-1.954290329E0,2.953996975E0,4.528856803E0,5.749425429E0
1.762004792E0,-1.526267127E0,2.922555912E0,2.356673199E0,4.052743881E0
1.772077792E0,-1.330409376E0,1.783368614E0,-1.459011283E0,2.660659062E0
1.782150792E0,-1.163759637E0,9.939214110E-2,-6.905718391E0,7.003796241E0
1.792223792E0,-1.137665852E0,-7.692322093E-1,-7.696636169E0,7.818197369E0
1.802296792E0,-8.687296003E-1,-1.374668705E-1,-2.968161563E0,3.095734375E0
1.812369792E0,-1.289992252E0,7.874521333E-1,2.058554517E0,2.553782992E0
1.822442792E0,-3.593226870E0,-1.519842206E0,9.159734656E0,9.956000132E0
1.832515792E0,-1.721672888E0,-7.604496914E-1,5.707958364E0,6.010260390E0
1.842588792E0,4.932442153E-1,6.161076647E-1,6.440845451E-1,1.018687102E0
1.852661792E0,-4.982646346E-2,9.184554917E-1,-4.295668674E-1,1.015170360E0
1.862734792E0,-1.277733564E0,1.820134737E0,-4.355228412E-1,2.266092158E0
1.872806792E0,-1.743975922E0,3.010738356E0,1.765895672E-1,3.483845769E0
1.882879792E0,-2.014226629E0,4.189870908E0,9.632914297E-1,4.747637045E0
1.892952792E0,-2.199302698E0,4.663067359E0,-6.182179248E-1,5.192621973E0
1.903025792E0,-1.641811909E0,5.061809460E0,-6.106457075E-1,5.356337324E0
1.913098792E0,-1.035338994E0,5.918637053E0,2.688096013E0,6.582404695E0
1.923171792E0,-1.056825465E0,6.700051936E0,3.523141558E0,7.643304419E0
1.933244792E0,-2.212395491E0,6.427449480E0,2.253989367E0,7.161513017E0
1.943317792E0,-3.089737748E0,5.574946488E0,1.018926444E0,6.454821360E0
1.953390792E0,-4.427494150E0,4.021427827E0,-1.637803350E0,6.201369690E0
1.963463792E0,-4.621656209E0,3.907300118E0,-1.399243383E0,6.211648925E0
1.973536792E0,-3.441216220E0,3.893699495E0,1.020112552E-2,5.196438096E0
1.983609792E0,-1.417145365E0,-1.483903465E0,1.676740982E-1,2.058733854E0
1.993682792E0,-3.681866712E-1,-1.549830003E1,4.442104003E0,1.612653568E1
2.003755792E0,2.254882822E0,-3.877040543E1,9.713660690E0,4.003228744E1
2.013828792E0,2.593037243E0,-3.822499119E1,6.599079877E0,3.887700669E1
2.023901792E0,4.524282746E-1,-2.035594693E1,1.245060347E0,2.039900591E1
2.033974792E0,-5.510632378E-1,-6.561429656E0,-2.994183719E-1,6.591333794E0
2.044047792E0,-1.189177703E0,-1.594032848E-1,2.603779748E-2,1.200096239E0
2.054120792E0,-1.815678866E0,3.277932723E0,8.456063475E-1,3.841429782E0
2.064193792E0,-2.158387099E0,5.046675696E0,1.075394321E0,5.593214049E0
2.074266792E0,-2.266108014E0,4.952936643E0,9.268550169E-1,5.525023724E0
2.084339792E0,-2.162095111E0,3.243481513E0,-9.632024058E-1,4.015294070E0
2.094412792E0,-1.963089804E0,1.026225523E0,-3.855552260E0,4.446587864E0
2.104485792E0,-9.667453068E-1,-3.257285035E-1,-3.119294254E0,3.281873274E0
2.114558792E0,-2.283220768E-1,-1.080656669E0,-1.876251050E0,2.177215610E0
2.124631792E0,-2.659346569E-2,-9.472647232E-1,-1.162200769E0,1.499576039E0
2.134704792E0,2.666257247E-3,-2.470004225E-1,-7.704748157E-1,8.091030585E-1
2.144777792E0,2.311860065E-1,5.922820151E-2,-3.407477347E-1,4.160095770E-1
2.154854042E0,4.841853433E-1,1.558166027E-1,-5.625496544E-2,5.117410297E-1
2.164927042E0,5.951406092E-1,1.272354126E-3,-1.143553121E-1,6.060289605E-1
2.175000042E0,6.084568023E-1,-5.624144375E-1,-3.688191207E-1,9.069494052E-1
2.185073042E0,5.416982641E-1,-9.435330302E-1,-4.973420171E-1,1.196261121E0
2.195146042E0,4.779134005E-1,-6.767742813E-1,-1.137985110E-1,8.362862831E-1
2.205219042E0,3.242739355E-1,-3.569169670E-1,3.916948901E-1,6.212633850E-1
2.215292042E0,1.937919295E-1,2.775556326E-2,5.976737326E-1,6.289193700E-1
2.225365042E0,9.333530277E-2,4.680859852E-1,3.497091043E-1,5.917029879E-1
2.235438042E0,-7.317995042E-2,6.785342932E-1,-2.875590491E-1,7.405770040E-1
2.245511042E0,-1.620521466E-1,6.742716730E-1,-4.576406653E-1,8.308659132E-1
2.255584042E0,-4.367731221E-2,3.213173640E-1,-1.846223990E-1,3.731460655E-1
2.265657042E0,8.629291624E-2,-1.346122599E-1,-9.599490881E-2,1.864991968E-1
2.275730042E0,1.175555664E-1,-4.972858107E-1,-2.521162976E-1,5.698026994E-1
2.285803042E0,-1.414594225E-1,-6.444356704E-1,-6.816931053E-1,9.486904612E-1
2.295876042E0,-6.325968859E-1,-3.950068992E-1,-8.093751720E-1,1.100589587E0
2.305949042E0,-1.147047198E0,-8.985006988E-2,-6.134852616E-1,1.303899719E0
2.316022042E0,-1.485583370E0,-2.143922549E-1,-3.106439296E-1,1.532782319E0
2.326095042E0,-1.721843919E0,-5.392191178E-1,-4.781034350E-2,1.804934782E0
2.336168042E0,-1.731882273E0,-2.584896165E-1,1.676177457E-2,1.751146494E0
2.346241042E0,-1.286875394E0,-2.547678638E-1,4.613920927E-1,1.390624898E0
2.356314042E0,-7.582409057E-1,-5.472216171E-1,6.559628713E-1,1.142220670E0
2.366387042E0,-4.521523956E-1,-9.983518463E-1,3.288017269E-1,1.144228462E0
2.376460042E0,-1.865213554E-1,-1.266259573E0,-1.755815072E-1,1.291910364E0
2.386533042E0,-8.723314852E-4,-9.655974984E-1,-3.481465821E-1,1.026443049E0
2.396606042E0,2.030979194E-2,-5.461346197E-1,-5.165563332E-1,7.520013004E-1
2.406678042E0,3.225433789E-2,-3.314505887E-1,-9.383893807E-1,9.957281079E-1
2.416751042E0,1.182800364E-1,-5.110641897E-2,-1.198891609E0,1.205795639E0
2.426824042E0,3.223146066E-1,3.725003815E-1,-6.020386791E-1,7.778777610E-1
2.436897042E0,-1.422759131E-1,2.889419156E-1,5.465152735E-1,6.343570053E-1
2.446970042E0,-3.696262557E-1,5.202074808E-1,-7.943917550E-2,6.430785135E-1
2.457043042E0,-1.639654286E-2,7.556666690E-1,-7.473397954E-1,1.062928846E0
2.467116042E0,2.155064419E-1,4.697080028E-1,-4.710587096E-1,6.992602822E-1
2.477189042E0,2.711963470E-1,3.328398871E-1,-1.402935608E-1,4.516770221E-1
2.487262042E0,8.755379520E-2,3.909705663E-1,-6.017844714E-2,4.051482398E-1
2.497335042E0,-3.119262971E-2,2.915684849E-1,8.008280776E-2,3.039710803E-1
2.507408042E0,-8.540472418E-2,9.772334576E-2,2.799529910E-1,3.085733242E-1
2.517481042E0,-2.065561089E-1,-1.309869862E-1,5.009543538E-1,5.574749154E-1
2.527554042E0,-1.651226657E-1,-4.447772294E-1,9.130635548E-1,1.028969064E0
2.537627042E0,-9.806606568E-2,-6.072292525E-1,1.292560934E0,1.431453138E0
2.547700042E0,-5.586495616E-2,-2.331477839E-1,1.000039864E0,1.028376640E0
2.557773042E0,-3.582384378E-2,-2.332688212E-2,1.035780458E0,1.036662264E0
2.567846042E0,-2.575077228E-1,-2.268193424E-2,1.104653569E0,1.134497336E0
2.577919042E0,-5.937166294E-1,1.688383520E-2,7.462226117E-1,9.537466573E-1
2.587992042E0,-3.363343294E-1,-8.366196156E-3,8.669793825E-1,9.299699049E-1
2.598065042E0,-3.783528596E-1,5.659286141E-2,9.248470831E-1,1.000847524E0
2.608138042E0,-5.206400286E-1,3.211466253E-1,9.049187489E-1,1.092281620E0
2.618211042E0,-6.775278412E-1,1.653990197E-1,7.533741219E-1,1.026632056E0
2.628284042E0,-9.884934407E-1,-7.012425399E-1,7.357797039E-1,1.417826560E0
2.638357042E0,-1.230651930E0,-6.660177433E-1,-8.692807004E-2,1.402012945E0
2.648429042E0,-7.919827022E-1,4.509021878E-2,-8.092325000E-1,1.133193261E0
2.658502042E0,9.290480152E-2,-3.683435959E-1,-3.951128800E-1,5.481081050E-1
2.668575042E0,5.477007964E-1,-7.001748383E-1,-1.663217103E-1,9.043693261E-1
2.678648042E0,8.498207282E-1,-5.734738612E-1,9.621425249E-2,1.029720701E0
2.688721042E0,9.530139980E-1,-3.520462364E-1,2.629668295E-1,1.049439749E0
2.698794042E0,7.712207012E-1,-1.138248235E-1,1.557044093E-1,7.949725300E-1
2.708867042E0,4.050743428E-1,-5.478841066E-2,1.964950973E-1,4.535386603E-1
2.718940042E0,2.165896386E-2,8.902970552E-2,2.435716152E-1,2.602355297E-1
2.729013042E0,-2.534325059E-1,3.559609473E-1,3.916487702E-1,5.867921184E-1
2.739086042E0,-2.114201152E-1,5.558439213E-1,4.278957331E-1,7.326361228E-1
