"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.586820833E-1,-2.346105233E0,-8.080371391E0,1.874668209E0,8.620382385E0
6.687550833E-1,-2.910974917E0,-8.348696609E0,3.922628009E0,9.672720431E0
6.788290833E-1,-1.493560141E0,-7.173786916E0,6.056644206E0,9.506675531E0
6.889020833E-1,1.876881965E0,-7.046669033E0,6.043158188E0,9.470902346E0
6.989760833E-1,4.648513055E0,-6.199474728E0,5.259965751E0,9.365329691E0
7.090490833E-1,6.883279701E0,-3.663610974E0,4.511524194E0,9.008631159E0
7.191230833E-1,7.910850084E0,-1.935444168E0,3.556761294E0,8.886959215E0
7.291952500E-1,8.818640839E0,3.585296657E-1,4.957631373E0,1.012299751E1
7.392692500E-1,9.386503712E0,1.274988589E0,5.538187382E0,1.097285593E1
7.493422500E-1,1.033290246E1,2.337245825E0,5.945619614E0,1.214833256E1
7.594152500E-1,1.177554622E1,4.219043251E0,5.976660143E0,1.386305454E1
7.694892500E-1,1.279626893E1,5.785144535E0,5.018941183E0,1.491315414E1
7.795622500E-1,1.359908462E1,6.368355764E0,3.984892670E0,1.553610077E1
7.896362500E-1,1.366168491E1,7.203790734E0,3.365923963E0,1.580714015E1
7.997092500E-1,1.245816538E1,8.078058817E0,2.683781353E0,1.508852548E1
8.097832500E-1,1.064558934E1,8.415855389E0,2.566052343E0,1.381085873E1
8.198562500E-1,8.113162576E0,7.952771112E0,2.535892405E0,1.164047790E1
8.299292500E-1,6.063995326E0,6.502010835E0,3.324176012E0,9.492014031E0
8.400032500E-1,5.544604116E0,7.792200138E0,3.363649396E0,1.013780820E1
8.500762500E-1,3.494866762E0,7.774970732E0,2.894815844E0,9.002456462E0
8.601502500E-1,2.213147736E0,6.851136972E0,9.790115958E-1,7.265986816E0
8.702232500E-1,2.101308627E0,7.790675769E0,3.161868708E-1,8.075277148E0
8.802972500E-1,1.498250778E0,7.250068522E0,-9.821370788E-1,7.468121732E0
8.903702500E-1,1.066346194E0,6.225636925E0,-1.785643766E0,6.563853516E0
9.004442500E-1,1.186788311E0,1.044983859E1,-2.530787201E0,1.081723056E1
9.105172500E-1,5.989840937E-1,1.003682402E1,-4.816681316E0,1.114885811E1
9.205902500E-1,-1.298142686E0,5.509398031E0,-8.777288745E0,1.044411024E1
9.306642500E-1,-3.121298679E0,2.603084514E0,-1.024857041E1,1.102505101E1
9.407372500E-1,-4.750904818E0,9.576784681E-1,-9.200648793E0,1.039904721E1
9.508112500E-1,-5.295855961E0,1.068847048E0,-6.974831895E0,8.822516894E0
9.608842500E-1,-5.009107921E0,1.498504255E0,-2.835661025E0,5.947911449E0
9.709582500E-1,-3.737665375E0,8.035884020E-1,-1.490645889E0,4.103403702E0
9.810312500E-1,-2.094520009E0,1.539373953E0,-2.134647696E0,3.363540846E0
9.911042500E-1,-1.193944718E0,1.716457902E0,-3.499212413E0,4.076299698E0
1.001178250E0,-4.555495548E-1,2.065909437E0,-3.681329792E0,4.245903465E0
1.011251250E0,2.001303113E-1,8.527167079E-1,-2.858854591E0,2.990021320E0
1.021325250E0,1.008942908E-1,3.400179291E0,-1.824574674E0,3.860112901E0
1.031398250E0,-4.970782346E-1,2.513286484E0,-1.122227741E0,2.796978875E0
1.041472250E0,-1.099252569E0,-9.624186596E-1,-1.313613249E0,1.964735518E0
1.051545250E0,-1.615372846E0,-8.768926057E-1,-9.453567767E-1,2.066898524E0
1.061619250E0,-2.165280089E0,-1.228756555E-1,-6.257992785E-1,2.257246338E0
1.071692250E0,-1.941189643E0,-2.443006899E-1,-1.544538360E0,2.492689070E0
1.081765250E0,-3.889790046E-1,-4.222508311E-1,-1.893137809E0,1.978274803E0
1.091839250E0,8.846018672E-1,-5.855694115E-3,-8.783897853E-1,1.246644844E0
1.101912250E0,1.577356004E0,1.047158482E0,-1.084635261E0,2.181977658E0
1.111986250E0,2.733821239E0,2.658984481E0,-7.018202448E-1,3.877696313E0
1.122059250E0,3.541819904E0,1.467934719E0,-2.653631647E-1,3.843141707E0
1.132133250E0,3.531935771E0,1.426797802E0,-5.451136959E-1,3.848047712E0
1.142206250E0,3.823538754E0,2.211086884E0,1.472020314E0,4.655662962E0
1.152280250E0,3.966277474E0,5.725494164E-1,1.846425573E0,4.412307472E0
1.162353250E0,3.456127789E0,-7.662124148E-1,2.830590320E-1,3.551341039E0
1.172426250E0,3.414153551E0,9.117625494E-2,2.014554365E-1,3.421307042E0
